Time,Object,Action,Arguments,Regular Queue,Merchant Queue,RegularTellers: available,MerchantTellers: available
61.90758076931987,RegularCustomer 1,Move-to,Bank.RegularQueue, 0, 0, 4, 1
61.90758076931987,RegularCustomer 1,Acquiring,RegularTeller, 1, 0, 4, 1
61.90758076931987,RegularCustomer 1,Acquired,RegularTeller, 1, 0, 3, 1
61.90758076931987,RegularCustomer 1,Move-to,Bank.TellerCounter, 0, 0, 3, 1
147.42771560626582,RegularCustomer 2,Move-to,Bank.RegularQueue, 0, 0, 3, 1
147.42771560626582,RegularCustomer 2,Acquiring,RegularTeller, 1, 0, 3, 1
147.42771560626582,RegularCustomer 2,Acquired,RegularTeller, 1, 0, 2, 1
147.42771560626582,RegularCustomer 2,Move-to,Bank.TellerCounter, 0, 0, 2, 1
159.8117884842,RegularCustomer 3,Move-to,Bank.RegularQueue, 0, 0, 2, 1
159.8117884842,RegularCustomer 3,Acquiring,RegularTeller, 1, 0, 2, 1
159.8117884842,RegularCustomer 3,Acquired,RegularTeller, 1, 0, 1, 1
159.8117884842,RegularCustomer 3,Move-to,Bank.TellerCounter, 0, 0, 1, 1
168.31852726540754,RegularCustomer 3,Release,RegularTeller, 0, 0, 1, 1
168.31852726540754,RegularCustomer 3,Move-to,Sink, 0, 0, 2, 1
174.55214189882295,RegularCustomer 4,Move-to,Bank.RegularQueue, 0, 0, 2, 1
174.55214189882295,RegularCustomer 4,Acquiring,RegularTeller, 1, 0, 2, 1
174.55214189882295,RegularCustomer 4,Acquired,RegularTeller, 1, 0, 1, 1
174.55214189882295,RegularCustomer 4,Move-to,Bank.TellerCounter, 0, 0, 1, 1
213.5895178707197,RegularCustomer 2,Release,RegularTeller, 0, 0, 1, 1
213.5895178707197,RegularCustomer 2,Move-to,Sink, 0, 0, 2, 1
251.83786508015248,RegularCustomer 5,Move-to,Bank.RegularQueue, 0, 0, 2, 1
251.83786508015248,RegularCustomer 5,Acquiring,RegularTeller, 1, 0, 2, 1
251.83786508015248,RegularCustomer 5,Acquired,RegularTeller, 1, 0, 1, 1
251.83786508015248,RegularCustomer 5,Move-to,Bank.TellerCounter, 0, 0, 1, 1
297.5109740823554,RegularCustomer 4,Release,RegularTeller, 0, 0, 1, 1
297.5109740823554,RegularCustomer 4,Move-to,Sink, 0, 0, 2, 1
315.5205724365369,RegularCustomer 5,Release,RegularTeller, 0, 0, 2, 1
315.5205724365369,RegularCustomer 5,Move-to,Sink, 0, 0, 3, 1
376.2302278147906,MerchantCustomer 6,Move-to,Bank.MerchantQueue, 0, 0, 3, 1
376.2302278147906,MerchantCustomer 6,Acquiring,MerchantTeller, 0, 1, 3, 1
376.2302278147906,MerchantCustomer 6,Acquired,MerchantTeller, 0, 1, 3, 0
376.2302278147906,MerchantCustomer 6,Move-to,Bank.TellerCounter, 0, 0, 3, 0
452.5928827946442,RegularCustomer 7,Move-to,Bank.RegularQueue, 0, 0, 3, 0
452.5928827946442,RegularCustomer 7,Acquiring,RegularTeller, 1, 0, 3, 0
452.5928827946442,RegularCustomer 7,Acquired,RegularTeller, 1, 0, 2, 0
452.5928827946442,RegularCustomer 7,Move-to,Bank.TellerCounter, 0, 0, 2, 0
474.2410876018223,RegularCustomer 8,Move-to,Bank.RegularQueue, 0, 0, 2, 0
474.2410876018223,RegularCustomer 8,Acquiring,RegularTeller, 1, 0, 2, 0
474.2410876018223,RegularCustomer 8,Acquired,RegularTeller, 1, 0, 1, 0
474.2410876018223,RegularCustomer 8,Move-to,Bank.TellerCounter, 0, 0, 1, 0
534.0152361542076,RegularCustomer 1,Release,RegularTeller, 0, 0, 1, 0
534.0152361542076,RegularCustomer 1,Move-to,Sink, 0, 0, 2, 0
547.7739194884266,RegularCustomer 9,Move-to,Bank.RegularQueue, 0, 0, 2, 0
547.7739194884266,RegularCustomer 9,Acquiring,RegularTeller, 1, 0, 2, 0
547.7739194884266,RegularCustomer 9,Acquired,RegularTeller, 1, 0, 1, 0
547.7739194884266,RegularCustomer 9,Move-to,Bank.TellerCounter, 0, 0, 1, 0
625.7323297671835,RegularCustomer 8,Release,RegularTeller, 0, 0, 1, 0
625.7323297671835,RegularCustomer 8,Move-to,Sink, 0, 0, 2, 0
683.2510218944358,RegularCustomer 10,Move-to,Bank.RegularQueue, 0, 0, 2, 0
683.2510218944358,RegularCustomer 10,Acquiring,RegularTeller, 1, 0, 2, 0
683.2510218944358,RegularCustomer 10,Acquired,RegularTeller, 1, 0, 1, 0
683.2510218944358,RegularCustomer 10,Move-to,Bank.TellerCounter, 0, 0, 1, 0
699.4468495810205,RegularCustomer 11,Move-to,Bank.RegularQueue, 0, 0, 1, 0
699.4468495810205,RegularCustomer 11,Acquiring,RegularTeller, 1, 0, 1, 0
699.4468495810205,RegularCustomer 11,Acquired,RegularTeller, 1, 0, 0, 0
699.4468495810205,RegularCustomer 11,Move-to,Bank.TellerCounter, 0, 0, 0, 0
719.0593664752729,RegularCustomer 11,Release,RegularTeller, 0, 0, 0, 0
719.0593664752729,RegularCustomer 11,Move-to,Sink, 0, 0, 1, 0
727.1126125402591,RegularCustomer 7,Release,RegularTeller, 0, 0, 1, 0
727.1126125402591,RegularCustomer 7,Move-to,Sink, 0, 0, 2, 0
849.050251129061,RegularCustomer 12,Move-to,Bank.RegularQueue, 0, 0, 2, 0
849.050251129061,RegularCustomer 12,Acquiring,RegularTeller, 1, 0, 2, 0
849.050251129061,RegularCustomer 12,Acquired,RegularTeller, 1, 0, 1, 0
849.050251129061,RegularCustomer 12,Move-to,Bank.TellerCounter, 0, 0, 1, 0
853.6975426752705,RegularCustomer 13,Move-to,Bank.RegularQueue, 0, 0, 1, 0
853.6975426752705,RegularCustomer 13,Acquiring,RegularTeller, 1, 0, 1, 0
853.6975426752705,RegularCustomer 13,Acquired,RegularTeller, 1, 0, 0, 0
853.6975426752705,RegularCustomer 13,Move-to,Bank.TellerCounter, 0, 0, 0, 0
864.4711437106755,RegularCustomer 12,Release,RegularTeller, 0, 0, 0, 0
864.4711437106755,RegularCustomer 12,Move-to,Sink, 0, 0, 1, 0
881.447094068574,RegularCustomer 10,Release,RegularTeller, 0, 0, 1, 0
881.447094068574,RegularCustomer 10,Move-to,Sink, 0, 0, 2, 0
904.53423538328,RegularCustomer 14,Move-to,Bank.RegularQueue, 0, 0, 2, 0
904.53423538328,RegularCustomer 14,Acquiring,RegularTeller, 1, 0, 2, 0
904.53423538328,RegularCustomer 14,Acquired,RegularTeller, 1, 0, 1, 0
904.53423538328,RegularCustomer 14,Move-to,Bank.TellerCounter, 0, 0, 1, 0
949.1702532365472,RegularCustomer 15,Move-to,Bank.RegularQueue, 0, 0, 1, 0
949.1702532365472,RegularCustomer 15,Acquiring,RegularTeller, 1, 0, 1, 0
949.1702532365472,RegularCustomer 15,Acquired,RegularTeller, 1, 0, 0, 0
949.1702532365472,RegularCustomer 15,Move-to,Bank.TellerCounter, 0, 0, 0, 0
956.5637528359703,MerchantCustomer 16,Move-to,Bank.MerchantQueue, 0, 0, 0, 0
956.5637528359703,MerchantCustomer 16,Acquiring,MerchantTeller, 0, 1, 0, 0
971.1571193045025,RegularCustomer 17,Move-to,Bank.RegularQueue, 0, 1, 0, 0
971.1571193045025,RegularCustomer 17,Acquiring,RegularTeller, 1, 1, 0, 0
998.0118987825178,RegularCustomer 9,Release,RegularTeller, 1, 1, 0, 0
998.0118987825178,RegularCustomer 9,Move-to,Sink, 1, 1, 1, 0
998.0118987825178,RegularCustomer 17,Acquired,RegularTeller, 1, 1, 0, 0
998.0118987825178,RegularCustomer 17,Move-to,Bank.TellerCounter, 0, 1, 0, 0
998.5378759652435,RegularCustomer 18,Move-to,Bank.RegularQueue, 0, 1, 0, 0
998.5378759652435,RegularCustomer 18,Acquiring,RegularTeller, 1, 1, 0, 0
1006.8835337449029,RegularCustomer 19,Move-to,Bank.RegularQueue, 1, 1, 0, 0
1006.8835337449029,RegularCustomer 19,Acquiring,RegularTeller, 2, 1, 0, 0
1037.5967857087878,RegularCustomer 20,Move-to,Bank.RegularQueue, 2, 1, 0, 0
1037.5967857087878,RegularCustomer 20,Acquiring,RegularTeller, 3, 1, 0, 0
1072.0437718073347,RegularCustomer 21,Move-to,Bank.RegularQueue, 3, 1, 0, 0
1072.0437718073347,RegularCustomer 21,Acquiring,RegularTeller, 4, 1, 0, 0
1155.9398419418383,RegularCustomer 17,Release,RegularTeller, 4, 1, 0, 0
1155.9398419418383,RegularCustomer 17,Move-to,Sink, 4, 1, 1, 0
1155.9398419418383,RegularCustomer 18,Acquired,RegularTeller, 4, 1, 0, 0
1155.9398419418383,RegularCustomer 18,Move-to,Bank.TellerCounter, 3, 1, 0, 0
